year,ahe,bachelor,female,age
1998,10.34188,1,0,28
1998,9.615385,0,1,33
1998,9.575923,1,0,29
1998,4.516994,1,1,29
1998,12.5,0,0,31
1998,8.173077,0,0,26
1998,6.490385,0,0,28
1998,12.01923,0,0,27
1998,11.36539,0,0,29
1998,9.423077,1,1,25
1998,10.29526,1,1,26
1998,15.38461,0,0,34
1998,18.9351,1,0,32
1998,7.692307,1,1,30
1998,9.134615,0,0,33
1998,12.5,0,0,32
1998,23.07692,0,0,33
1998,11.87084,1,0,30
1998,38.46154,1,0,34
1998,9.615385,1,1,27
1998,12.54902,0,0,32
1998,7,0,1,29
1998,6.944445,0,1,34
1998,17.54808,0,0,27
1998,16.82692,0,0,30
1998,17.64423,0,0,30
1998,19.71154,1,1,30
1998,9.615385,0,1,26
1998,10.8226,0,1,32
1998,15.41442,0,0,31
1998,10.65089,1,0,31
1998,4.807693,0,1,27
1998,17.58242,1,0,27
1998,13.24786,1,1,27
1998,12.82051,1,1,31
1998,7.163462,0,1,29
1998,7.211538,0,1,26
1998,18.26923,0,0,33
1998,9.615385,0,0,30
1998,18.26923,0,1,33
1998,28.84615,1,0,27
1998,12.01923,0,0,25
1998,9.615385,0,1,34
1998,4.326923,0,0,29
1998,27.77778,1,0,28
1998,4.807693,1,1,28
1998,13.46154,0,0,31
1998,21.53846,1,0,26
1998,12.01923,0,0,29
1998,13.70192,0,0,25
1998,9.615385,0,1,34
1998,14.42308,0,0,30
1998,14.90385,1,1,33
1998,4.91453,0,1,33
1998,7.518797,0,1,26
1998,11.05769,1,1,25
1998,9.065934,0,0,26
1998,7.692307,0,1,31
1998,11.21795,0,1,33
1998,17.77778,0,0,33
1998,27.21335,1,1,28
1998,14.90385,1,0,30
1998,18.46154,1,1,30
1998,5.769231,1,1,26
1998,11.18068,1,0,34
1998,11,0,0,28
1998,11.22933,0,0,27
1998,12.01923,0,1,28
1998,20.83333,0,0,30
1998,13.56838,1,0,30
1998,42.73504,1,1,33
1998,7.384615,0,0,31
1998,8.653846,0,0,30
1998,8.653846,0,1,26
1998,11.05769,1,0,27
1998,22.59615,0,0,32
1998,10.28623,0,0,31
1998,12.01923,0,0,34
1998,21.15385,1,1,34
1998,23.07692,1,1,25
1998,15.38461,1,0,26
1998,13.24786,1,0,29
1998,8.547009,1,0,30
1998,19.23077,0,0,30
1998,15.38461,1,0,30
1998,15.86539,1,1,30
1998,13.46154,1,1,34
1998,14.95726,0,0,32
1998,23.07692,1,1,31
1998,6.923077,0,1,28
1998,10.09615,1,1,32
1998,15.22436,1,0,32
1998,9.467456,0,0,28
1998,16.37045,1,0,33
1998,25,1,0,28
1998,7.211538,0,0,26
1998,16.23932,1,0,27
1998,14.59478,0,0,33
1998,26.78572,0,0,32
1998,17.1875,0,0,26
1998,5.944056,0,1,30
1998,16.49573,1,0,34
1998,6.25,0,0,29
1998,13.70192,0,1,33
1998,8.653846,0,0,32
1998,5,0,1,26
1998,5.769231,0,0,29
1998,11.05769,0,1,26
1998,11.17789,1,0,29
1998,3.461539,0,0,31
1998,24.47552,1,0,32
1998,7.692307,1,0,34
1998,17.13461,0,0,30
1998,11.88811,1,0,31
1998,11.53846,0,1,29
1998,9.134615,0,0,30
1998,11.53846,1,0,30
1998,14.95726,1,1,32
1998,10.31373,0,0,26
1998,12.5,0,1,34
1998,18.77289,0,0,34
1998,9.5,1,0,31
1998,22.11539,0,0,33
1998,15.38461,1,1,32
1998,7.692307,0,1,33
1998,10.68376,1,0,27
1998,8.653846,0,0,31
1998,6.730769,0,1,30
1998,10.66667,1,1,28
1998,9.982254,1,1,30
1998,23.07692,1,1,27
1998,12.45192,0,0,27
1998,19.42308,1,1,29
1998,17.30769,1,0,26
1998,10.12146,0,1,34
1998,42.73504,1,0,29
1998,12.11539,1,1,27
1998,9.615385,0,0,31
1998,6.5,0,0,31
1998,4.464286,0,1,27
1998,9.91453,1,1,28
1998,11.05769,0,0,26
1998,5.769231,0,1,25
1998,11.53846,1,1,30
1998,12.01923,1,0,30
1998,7.498077,0,0,29
1998,7.5,0,0,33
1998,7.692307,0,1,31
1998,12.5,0,1,34
1998,13.50721,0,1,33
1998,15.86539,0,0,28
1998,14.61539,1,0,28
1998,20.08547,1,1,34
1998,4.807693,0,1,30
1998,18.75,1,1,27
1998,16.82692,0,0,29
1998,15.86346,0,0,34
1998,36.05769,1,0,28
1998,7.291667,0,0,28
1998,5.288462,0,1,31
1998,6.826923,0,1,34
1998,8.173077,1,1,28
1998,7.265385,0,0,26
1998,10.6383,0,0,34
1998,5.604395,0,1,33
1998,9.803922,0,0,29
1998,8.173077,1,1,31
1998,33.17308,0,0,33
1998,8.461538,0,1,27
1998,9.171154,0,1,33
1998,13.25,0,0,30
1998,12.3,0,1,32
1998,9.615385,1,0,30
1998,7.211538,0,0,29
1998,7.015934,0,0,32
1998,8.346154,1,1,25
1998,19.23077,0,0,28
1998,10.01603,1,0,27
1998,7.75,0,1,28
1998,10.57692,0,0,30
1998,11.23565,1,1,27
1998,10.28571,0,1,29
1998,14.42308,0,0,27
1998,7.211538,0,0,25
1998,6.510417,0,1,29
1998,9.134615,0,1,29
1998,17.30769,1,0,28
1998,16.34615,1,0,28
1998,7.1875,0,1,29
1998,14,0,0,31
1998,12.30769,0,1,26
1998,6.363636,0,0,26
1998,21.63461,1,1,28
1998,30.28846,0,0,27
1998,11.53846,1,1,27
1998,9.5,0,0,32
1998,7.211538,0,1,26
1998,29.08654,1,0,34
1998,15.38461,0,1,32
1998,7.211538,0,0,29
1998,14.42308,1,1,31
1998,26.92308,1,0,33
1998,16.82692,1,1,32
1998,5.961538,0,1,34
1998,16.3625,1,0,27
1998,18.75,1,1,31
1998,12.01923,0,1,30
1998,8.653846,1,0,30
1998,7.211538,0,0,31
1998,11.53846,0,1,34
1998,9.615385,0,0,31
1998,14.42308,0,0,31
1998,9.615385,0,0,26
1998,8.894231,0,1,27
1998,12.01923,0,1,25
1998,12.98077,0,1,34
1998,11.05769,0,0,34
1998,8.076923,0,0,34
1998,6.730769,0,1,31
1998,13.46154,0,1,30
1998,19.23077,1,0,26
1998,15,0,0,29
1998,7.051282,0,0,25
1998,18.26923,1,0,25
1998,11.96581,0,0,27
1998,19.71154,0,0,33
1998,9.134615,0,0,33
1998,18.26923,1,0,28
1998,18.26923,1,1,28
1998,16.34615,1,1,31
1998,20.90301,0,0,34
1998,19.09341,1,1,29
1998,6.730769,1,1,31
1998,14.42308,1,1,26
1998,13.94231,1,0,26
1998,8.653846,1,1,28
1998,6.394231,0,0,31
1998,20.03205,1,1,33
1998,25.64103,1,0,34
1998,6.25,0,1,28
1998,11.21795,0,0,30
1998,10.09615,1,0,27
1998,9.615385,0,1,33
1998,26.57343,1,0,34
1998,13.89423,1,0,27
1998,33.65385,1,1,32
1998,10.57692,1,0,33
1998,13.88889,1,1,28
1998,11.51667,1,0,31
1998,19.47115,1,0,25
1998,16.82692,1,0,26
1998,12.98077,0,0,33
1998,15.68826,1,0,33
1998,8.23718,1,0,27
1998,8.173077,1,1,25
1998,5.608974,1,0,29
1998,24.03846,1,0,29
1998,15.18219,0,0,29
1998,32.96703,1,1,27
1998,27.77778,1,0,31
1998,13.46154,1,1,30
1998,36,1,1,26
1998,10.85165,1,0,27
1998,16.02564,0,0,28
1998,16.02564,0,1,27
1998,19.23077,0,0,32
1998,21.63461,0,1,30
1998,15.38461,1,0,28
1998,11.25,1,1,29
1998,7.371795,1,1,29
1998,14.42308,0,1,32
1998,7.692307,1,0,30
1998,21.63461,0,0,32
1998,18,0,0,28
1998,6.875,1,1,27
1998,14.42308,1,1,25
1998,10.35503,0,0,32
1998,25.10684,1,1,27
1998,13.46154,1,1,32
1998,18.02885,1,0,31
1998,25,1,1,31
1998,33.65385,1,0,29
1998,21.63461,0,0,28
1998,7.692307,1,1,30
1998,26.92308,1,0,30
1998,18.75,1,1,25
1998,17.30769,1,1,25
1998,12.01923,1,1,30
1998,6.923077,1,0,30
1998,11.53846,1,0,27
1998,10.13798,0,0,30
1998,15,1,1,26
1998,2.864583,0,0,27
1998,19.23077,0,0,31
1998,15.38461,0,0,31
1998,21.36752,0,0,34
1998,8.173077,0,1,34
1998,12.5,1,1,27
1998,22.91667,1,0,34
1998,13.46154,0,1,27
1998,7.211538,0,0,26
1998,14.76923,1,1,29
1998,24.03846,1,0,30
1998,25,1,1,30
1998,9.615385,1,1,32
1998,6,1,1,28
1998,12.39316,1,1,34
1998,8.112981,0,1,32
1998,26.92308,1,1,30
1998,12.82051,0,0,25
1998,10.57692,1,0,34
1998,32.69231,1,1,25
1998,7.211538,0,0,30
1998,14.42308,1,1,30
1998,33.65385,1,0,28
1998,31.25,1,1,26
1998,14.42308,0,0,34
1998,6.730769,1,1,31
1998,18.84615,1,0,33
1998,18.75,1,1,31
1998,5.769231,0,1,26
1998,5.769231,0,0,34
1998,3.846154,0,1,32
1998,7.692307,0,0,30
1998,5.769231,0,1,29
1998,6.043956,0,0,34
1998,9.375,0,1,33
1998,19.08654,0,0,33
1998,14.42308,0,0,33
1998,7.403846,0,1,31
1998,9.158654,0,0,28
1998,9.615385,0,1,31
1998,15.38461,0,0,26
1998,14.42308,0,0,26
1998,7.601442,1,1,34
1998,12.5,0,1,27
1998,20.37452,0,0,25
1998,19.23077,1,0,29
1998,25,0,0,34
1998,14.0625,0,1,29
1998,6.730769,1,0,30
1998,11.05769,0,1,25
1998,12.01923,0,0,28
1998,12.63736,0,1,28
1998,11.85897,1,0,26
1998,11.53846,0,1,33
1998,16.15385,0,0,30
1998,9.467456,0,0,34
1998,16.63461,0,1,32
1998,7.293269,1,0,26
1998,9.247894,1,1,32
1998,20.03205,0,0,30
1998,28.20513,1,0,28
1998,13.40192,0,1,28
1998,13.46154,0,0,25
1998,10.53114,0,0,29
1998,10,0,0,29
1998,14.31923,1,1,29
1998,13.14103,1,0,26
1998,15.38461,1,0,34
1998,13.94135,0,0,33
1998,9.3,0,0,33
1998,13.46154,0,0,25
1998,10.57692,0,1,28
1998,12.05577,0,0,32
1998,21.36752,0,0,30
1998,4.15,0,1,27
1998,14.42308,1,1,33
1998,17.30769,1,0,29
1998,4.615385,0,0,32
1998,11.05769,1,1,31
1998,8.025,0,1,26
1998,26.92308,1,0,31
1998,8.173077,0,0,25
1998,24.03846,1,0,31
1998,18.5,1,1,31
1998,12.27106,1,1,33
1998,10.68376,0,0,25
1998,12.58242,0,1,31
1998,11,1,0,27
1998,13.73626,1,0,30
1998,23.07692,1,1,33
1998,7.5,0,0,32
1998,11.88811,1,1,33
1998,21.36752,1,0,34
1998,10.81197,1,0,29
1998,11.53846,0,1,26
1998,11.05769,0,0,26
1998,26.44231,1,0,29
1998,14.85577,1,1,29
1998,24.03846,1,0,30
1998,7.692307,0,0,30
1998,20.03205,0,0,27
1998,14.42308,1,1,25
1998,12.01923,0,0,32
1998,16.82692,1,0,27
1998,12.01923,0,0,33
1998,19.23077,1,1,28
1998,7.428571,0,1,32
1998,4.807693,0,0,33
1998,13.46154,0,1,34
1998,24.47115,0,1,32
1998,15.86539,1,1,33
1998,16.82692,0,0,34
1998,28.84615,1,0,25
1998,27.88461,1,0,31
1998,16.02564,1,0,30
1998,7.692307,0,1,30
1998,10.38461,0,0,29
1998,12.5,1,1,30
1998,10.57692,0,0,28
1998,27.08006,1,0,33
1998,21.63461,1,0,32
1998,20.03205,0,0,30
1998,15.38461,1,1,31
1998,9.615385,0,1,30
1998,9.617788,0,0,25
1998,14.42308,0,1,33
1998,16.02564,1,0,33
1998,27.46875,1,1,30
1998,9.615385,1,0,29
1998,7.211538,1,1,31
1998,9.615385,0,0,33
1998,6.25,0,1,28
1998,21.63461,0,0,29
1998,13.46154,0,0,28
1998,12.01923,1,0,34
1998,11.12821,1,0,27
