ID,section,midterm,quiz_1,quiz_2,quiz_3
1,,Manual Posting,Manual Posting,Manual Posting,Manual Posting
2,,0,0,0,0
3,國立嘉義大學,,,,
4,國立臺灣大學修課學生 (ECON2022-03),36,21,24,14
5,國立臺灣大學修課學生 (ECON2022-03),32,14,4,10
6,國立臺灣大學修課學生 (ECON2022-03),48,18,9,18
7,臺北醫學大學,0,,,
8,國立臺灣大學修課學生 (ECON2022-03),65,15,9,18
9,國立臺灣大學修課學生 (ECON2022-03),68,13,18,8
10,國立臺灣大學修課學生 (ECON2022-03),22,15,11,2
11,國立臺灣大學修課學生 (ECON2022-03),74,18,10,16
12,國立臺北大學,,,,
13,衛星課程協同教師、助教,,,,
14,高雄醫學大學,,,,
15,衛星課程協同教師、助教,,,,
16,國立勤益科技大學,,,,
17,國立臺灣大學修課學生 (ECON2022-03),77,22,30,20
18,元智大學,,,,
19,國立臺灣大學修課學生 (ECON2022-03),42,17,10,10
20,國立臺灣大學修課學生 (ECON2022-03),93,16,27,18
21,衛星課程協同教師、助教,,,,
22,國立臺灣大學修課學生 (ECON2022-03),71,23,27,22
23,衛星課程協同教師、助教,0,,,
24,國立雲林科技大學,,,,
25,國立臺灣大學修課學生 (ECON2022-03),56,15,4,8
26,國立臺灣大學修課學生 (ECON2022-03),48,4,,
27,國立臺灣大學修課學生 (ECON2022-03),52,23,,10
28,國立宜蘭大學,,0,,
29,國立中山大學,,,,
30,國立臺灣大學修課學生 (ECON2022-03),51,12,,
31,國立中興大學,,,,
32,衛星課程協同教師、助教,,,,
33,衛星課程協同教師、助教,,,,
34,元智大學,,,,
35,國立臺灣大學修課學生 (ECON2022-03),78,22,27,22
36,TAICA 計畫辦公室,,,,
37,國立臺灣大學修課學生 (ECON2022-03),49,14,7,6
38,國立臺灣大學修課學生 (ECON2022-03),52,,22,10
39,國立臺灣大學修課學生 (ECON2022-03),18,19,15,16
40,國立政治大學,,,,
41,衛星課程協同教師、助教,,,,
42,衛星課程協同教師、助教,,,,
43,衛星課程協同教師、助教,,,,
44,衛星課程協同教師、助教,,,,
45,國立勤益科技大學,,,,
46,衛星課程協同教師、助教,,,,
47,國立臺灣大學修課學生 (ECON2022-03),76,16,18,16
48,國立臺灣大學修課學生 (ECON2022-03),61,18,18,12
49,衛星課程協同教師、助教,,,,
50,國立宜蘭大學,0,0,,
51,元智大學,,,,
52,衛星課程協同教師、助教,0,,,
53,臺北醫學大學,,,,
54,衛星課程協同教師、助教,,,,
55,國立臺灣大學修課學生 (ECON2022-03),94,22,27,28
56,衛星課程協同教師、助教,,0,,
57,衛星課程協同教師、助教,,,,
58,國立臺灣大學修課學生 (ECON2022-03),89,21,30,24
59,元智大學,,,,
60,國立中興大學,,,,
61,衛星課程協同教師、助教,,,,
62,國立臺灣大學修課學生 (ECON2022-03),50,19,,24
63,衛星課程協同教師、助教,,,,
64,衛星課程協同教師、助教,,,,
65,國立高雄科技大學,,,,
66,元智大學,,,,
