id,price,bdrms,lotsize,sqrft,colonial
1,300.0,4,6126,2438,1
2,370.0,3,9903,2076,1
3,191.0,3,5200,1374,0
4,195.0,3,4600,1448,1
5,373.0,4,6095,2514,1
6,466.3,5,8566,2754,1
7,332.5,3,9000,2067,1
8,315.0,3,6210,1731,1
9,206.0,3,6000,1767,0
10,240.0,3,2892,1890,0
11,285.0,4,6000,2336,1
12,300.0,5,7047,2634,1
13,405.0,3,12237,3375,1
14,212.0,3,6460,1899,0
15,265.0,3,6519,2312,1
16,227.4,4,3597,1760,1
17,240.0,4,5922,2000,0
18,285.0,3,7123,1774,1
19,268.0,3,5642,1376,1
20,310.0,4,8602,1835,1
21,266.0,3,5494,2048,1
22,270.0,3,7800,2124,1
23,225.0,3,6003,1768,0
24,150.0,4,5218,1732,0
25,247.0,3,9425,1440,1
26,275.0,3,6114,1932,0
27,230.0,3,6710,1932,0
28,343.0,3,8577,2106,1
29,477.5,7,8400,3529,1
30,350.0,4,9773,2051,1
31,230.0,4,4806,1573,1
32,335.0,4,15086,2829,0
33,251.0,3,5763,1630,1
34,235.0,4,6383,1840,1
35,361.0,4,9000,2066,1
36,190.0,4,3500,1702,0
37,360.0,4,10892,2750,1
38,575.0,5,15634,3880,1
39,209.0,4,6400,1854,1
40,225.0,2,8880,1421,0
41,246.0,3,6314,1662,1
42,713.5,5,28231,3331,1
43,248.0,4,7050,1656,1
44,230.0,3,5305,1171,0
45,375.0,5,6637,2293,1
46,265.0,3,7834,1764,1
47,313.0,3,1000,2768,0
48,417.5,4,8112,3733,0
49,253.0,3,5850,1536,1
50,315.0,4,6660,1638,1
51,264.0,3,6637,1972,1
52,255.0,2,15267,1478,0
53,210.0,3,5146,1408,1
54,180.0,3,6017,1812,1
55,250.0,3,8410,1722,1
56,250.0,4,5625,1780,1
57,209.0,4,5600,1674,1
58,258.0,4,6525,1850,1
59,289.0,3,6060,1925,1
60,316.0,4,5539,2343,0
61,225.0,3,7566,1567,0
62,266.0,4,5484,1664,1
63,310.0,6,5348,1386,1
64,471.3,5,15834,2617,1
65,335.0,4,8022,2321,1
66,495.0,4,11966,2638,1
67,279.5,4,8460,1915,1
68,380.0,4,15105,2589,1
69,325.0,4,10859,2709,0
70,220.0,3,6300,1587,1
71,215.0,3,11554,1694,0
72,240.0,3,6000,1536,1
73,725.0,5,31000,3662,0
74,230.0,3,4054,1736,1
75,306.0,2,20700,2205,0
76,425.0,3,5525,1502,0
77,318.0,4,92681,1696,1
78,330.0,3,8178,2186,1
79,246.0,4,5944,1928,1
80,225.0,3,18838,1294,0
81,111.0,4,4315,1535,1
82,268.1,3,5167,1980,1
83,244.0,4,7893,2090,1
84,295.0,3,6056,1837,1
85,236.0,3,5828,1715,0
86,202.5,3,6341,1574,0
87,219.0,2,6362,1185,0
88,242.0,4,4950,1774,1
89,315.0,4,6660,1638,1
90,264.0,3,6637,1972,1
91,255.0,2,15267,1478,0
92,210.0,3,5146,1408,1
93,180.0,3,6017,1812,1
94,250.0,3,8410,1722,1
95,250.0,4,5625,1780,1
96,209.0,4,5600,1674,1
97,258.0,4,6525,1850,1
98,289.0,3,6060,1925,1
99,316.0,4,5539,2343,0
100,225.0,3,7566,1567,0
101,266.0,4,5484,1664,1
