female,BA,AA,black,hispanic,exper,jc,univ,stotal,totcoll,wage
1,0,0,0,0,161,0,0,-0.4417497,0,6.857142
1,0,0,0,0,119,0,7.033333,0,7.033333,16.3871
1,0,0,0,0,81,0,0,-1.357003,0,5.081464
1,0,0,0,1,39,0.2666667,0,-0.1900551,0.2666667,9.237875
1,0,0,0,0,141,0,0,0,0,5.165917
0,0,0,0,0,165,0,0,1.388757,0,8
0,1,0,0,0,127,0.2666667,4.444438,1.411638,4.711104,17.77778
0,0,0,1,0,161,0,0,-0.3731057,0,12.42999
0,0,0,0,0,138,0.0888887,0,0,0.0888887,12.5
0,1,0,1,0,64,0,5.4,-1.402765,5.4,14.49894
1,1,0,0,0,119,0,4.1,-0.2358177,4.1,7.272727
1,0,0,0,0,105,0,0,1.068418,0,9.516188
1,0,0,0,0,124,0.8888875,0,0.5421474,0.8888875,5.75
1,0,0,0,0,143,0,0,0.5879101,0,3.349999
0,0,1,0,0,160,2.766667,0,0.5650287,2.766667,7.5
1,0,0,0,0,121,0,0,-0.1671738,0,4
1,0,0,0,0,166,0.9555542,0,0.1760461,0.9555542,9
1,1,0,0,0,118,0,4.533325,1.434519,4.533325,7.555555
1,0,0,1,0,103,0,0,-2.386662,0,4.373847
0,0,0,0,0,60,0.3666667,0,0,0.3666667,9.5
1,1,0,0,1,131,3.833333,2.333333,0,6.166667,6.5
1,0,0,0,1,95,0,0,-1.082427,0,3.322675
1,0,0,0,0,59,0,1.3,0,1.3,8.054967
1,0,0,0,0,161,0,1.9,0.725198,1.9,8.750001
0,0,0,0,0,122,0,0,0.2218088,0,11.11111
1,0,0,0,0,162,0.1,0,-0.7849696,0.1,8.750001
1,1,0,0,0,106,0,4.833333,0.7709606,4.833333,10.26316
0,1,0,0,0,60,2.1,3.283333,-0.0298858,5.383333,13.28
1,0,0,0,0,107,0.1,0,0,0.1,11.05544
0,0,0,0,0,165,0.1555553,0,1.022655,0.1555553,21.6
1,1,0,1,0,136,0,4.199994,-1.173952,4.199994,12.12471
1,0,0,0,0,21,0,0,-1.379884,0,5.144645
1,0,0,0,0,113,0,0,-0.2586991,0,6.351039
1,1,0,0,0,111,0,6.2,0.8853673,6.2,10.5
0,1,0,0,0,143,0,4,0.4735034,4,4.444445
1,1,0,0,0,112,2.133333,1.933331,0.5879101,4.066665,7.837715
0,0,0,0,0,135,0,0,-0.4875124,0,7.55
0,0,0,0,0,157,0,0,-0.601919,0,11.89999
1,1,0,0,0,86,0.1111109,4.022218,0.0158769,4.133329,10
1,1,0,1,0,49,2.644442,2.666667,-2.249375,5.311109,16.70442
0,0,0,0,0,143,0,0,0.0845208,0,6.779999
1,0,0,0,1,166,0,0,0.1760461,0,9.199998
0,1,0,0,0,112,0,4.6,0.9997739,4.6,15.11111
0,1,0,0,0,129,0,4.416663,0.1760461,4.416663,8.625
1,0,0,1,0,66,0,0,-0.7163256,0,9.740576
1,1,0,0,0,79,0,2.7,-0.3502244,2.7,6.041226
0,0,0,0,0,160,1.05,0,0,1.05,7.649998
1,0,0,0,0,132,0,0,0,0,6.875
0,0,0,0,0,154,0,0,-0.6248003,0,12.35
1,0,0,0,0,137,0,0,-0.601919,0,11.64
1,1,0,0,0,94,0,4.1,-0.1442924,4.1,5.44
0,0,0,1,0,118,0,1.5,0.3133341,1.5,7.609997
1,0,0,0,0,154,0,0,0.0158769,0,8
1,0,0,0,0,142,0,0.8666667,-0.8536136,0.8666667,10.95
1,0,0,0,0,73,0,3.433333,0.7480794,3.433333,4.757506
0,0,0,0,1,61,0,0,-1.448528,0,8.375
1,0,0,1,0,154,0,1.399998,-1.082427,1.399998,12
1,1,0,1,0,139,0,4.2,-0.5561563,4.2,14.25
