date,content,paired_with_iroha,hours,donation
2050-01-03,Chat,No,2.5,184900
2050-01-04,Dancing,Yes,1.0,78900
2050-01-05,Chat,No,3.0,158200
2050-01-07,Dancing,Yes,3.0,221200
2050-01-08,Singing,Yes,2.0,95900
2050-01-09,Chat,No,3.0,201200
2050-01-11,Chat,No,2.0,139500
2050-01-12,Singing,Yes,1.5,56100
2050-01-17,Chat,Yes,2.0,108600
2050-01-18,Gaming,Yes,2.0,98800
2050-01-21,Chat,Yes,2.5,173500
2050-01-23,Gaming,Yes,1.0,122900
2050-01-28,Chat,No,3.0,187100
2050-01-31,Dancing,Yes,1.5,63400
2050-02-01,Dancing,Yes,2.5,155200
2050-02-04,Dancing,Yes,3.0,225700
2050-02-06,Dancing,No,1.5,57400
2050-02-07,Singing,Yes,1.5,173800
2050-02-09,Singing,Yes,3.0,89100
2050-02-10,Chat,Yes,2.0,112000
2050-02-11,Dancing,No,2.5,198600
2050-02-12,Singing,Yes,2.5,192500
2050-02-13,Singing,Yes,1.5,117100
2050-02-15,Chat,Yes,2.0,134300
2050-02-16,Singing,Yes,1.5,108600
2050-02-17,Dancing,No,1.5,91600
2050-02-18,Chat,Yes,1.0,50000
2050-02-20,Dancing,Yes,1.5,88500
2050-02-26,Singing,Yes,1.0,50000
2050-02-28,Dancing,Yes,1.5,120700
2050-03-05,Dancing,No,2.5,207000
2050-03-08,Gaming,No,3.0,192500
2050-03-10,Dancing,No,1.0,125200
2050-03-12,Chat,No,2.0,75100
2050-03-14,Dancing,No,2.5,115700
2050-03-16,Gaming,No,3.0,242900
2050-03-17,Singing,Yes,3.0,219300
2050-03-19,Chat,No,3.0,162800
2050-03-20,Dancing,No,1.5,124400
2050-03-21,Dancing,No,1.5,80000
2050-03-22,Gaming,No,2.5,171600
2050-03-23,Chat,No,2.0,50000
2050-03-24,Gaming,Yes,3.0,250000
2050-03-26,Gaming,No,2.5,136000
2050-03-27,Gaming,No,1.0,58000
2050-03-28,Dancing,No,1.5,91400
2050-03-29,Dancing,Yes,1.5,109800
2050-03-30,Dancing,Yes,2.0,208400
2050-03-31,Gaming,No,2.0,215500
2050-04-04,Singing,Yes,2.0,176200
2050-04-05,Chat,Yes,1.0,50000
2050-04-06,Gaming,No,2.5,83700
2050-04-07,Gaming,Yes,3.0,146000
2050-04-08,Chat,No,3.0,102000
2050-04-09,Dancing,No,2.0,178900
2050-04-10,Chat,Yes,3.0,181700
2050-04-12,Chat,Yes,1.0,50000
2050-04-14,Gaming,No,1.5,155900
2050-04-17,Dancing,Yes,2.0,190700
2050-04-18,Dancing,Yes,1.5,137800
2050-04-19,Chat,No,1.0,68800
2050-04-20,Gaming,No,1.5,50000
2050-04-21,Gaming,Yes,3.0,122700
2050-04-22,Chat,No,1.0,50000
2050-04-24,Dancing,Yes,2.0,120400
2050-04-27,Gaming,No,2.0,129300
2050-04-29,Dancing,No,3.0,192600
2050-05-03,Dancing,No,1.5,120300
2050-05-09,Chat,Yes,1.0,73700
2050-05-10,Chat,No,1.0,50000
2050-05-12,Dancing,No,2.5,213600
2050-05-14,Chat,No,1.5,103600
2050-05-16,Chat,Yes,3.0,209000
2050-05-19,Singing,No,1.0,135000
2050-05-22,Dancing,Yes,1.5,178600
2050-05-23,Chat,Yes,1.5,69100
2050-05-24,Chat,Yes,1.5,50000
2050-05-25,Gaming,No,1.0,102400
2050-05-28,Gaming,Yes,1.5,102000
2050-05-30,Singing,No,1.5,71300
2050-05-31,Gaming,Yes,1.5,124500
2050-06-01,Singing,Yes,3.0,188000
2050-06-03,Chat,No,2.5,133200
2050-06-04,Gaming,Yes,1.5,89200
2050-06-06,Gaming,Yes,1.5,102900
2050-06-07,Chat,No,3.0,132000
2050-06-09,Chat,Yes,2.0,199600
2050-06-11,Singing,No,2.5,115600
2050-06-12,Chat,No,2.5,108500
2050-06-14,Chat,No,1.0,50000
2050-06-15,Gaming,Yes,2.0,126300
2050-06-18,Gaming,No,2.0,57900
2050-06-19,Gaming,Yes,2.0,61600
2050-06-20,Gaming,No,2.5,193600
2050-06-21,Gaming,No,1.5,145400
2050-06-23,Chat,Yes,3.0,117400
2050-06-25,Singing,No,2.0,99400
2050-06-26,Gaming,No,2.0,91500
2050-06-27,Singing,Yes,1.0,50000
2050-06-28,Singing,No,2.0,120600
